,Stock,Date,Open,High,Low,Close,Adj Close,Volume
0,AAPL,2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.722869873046875,102223600
1,AAPL,2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.71578598022461,118071600
2,AAPL,2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.9049072265625,89738400
3,AAPL,2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.37062072753906,94640000
4,AAPL,2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.21696472167969,82271200
5,AAPL,2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.21223068237305,86336000
6,AAPL,2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.20277404785156,95839600
7,AAPL,2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.43681335449219,74670800
8,AAPL,2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.86470413208008,101672400
9,AAPL,2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.651939392089844,118263600
10,AAPL,2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,42.33987808227539,137547200
11,AAPL,2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,42.37770080566406,124773600
12,AAPL,2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.18857955932617,129700400
13,AAPL,2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.84342575073242,108434400
14,AAPL,2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.852874755859375,130756400
15,AAPL,2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.18623733520508,204420400
16,AAPL,2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.45101547241211,166116000
17,AAPL,2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.545570373535156,156572000
18,AAPL,2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.70634460449219,202561600
19,AAPL,2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.472293853759766,184192800
20,AAPL,2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.5810432434082,129915600
21,AAPL,2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.66378402709961,188923200
22,AAPL,2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,37.94277572631836,346375200
23,AAPL,2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,36.99479293823242,290954000
