"id";"track_name";"artist_name";"acousticness";"danceability";"energy";"instrumentalness";"liveness";"loudness";"speechiness";"tempo";"valence";"year"
50;"3:15 (Breathe)";"Russ";0.591;0.451;0.627;0.00958;0.118;-4.59;0.127;74.69;0.77;2021
51;"Something in the Orange";"Zach Bryan";0.555;0.369;0.192;8.35e-06;0.0954;-12.151;0.04;175.212;0.148;2022
52;"Snooze";"SZA";0.141;0.559;0.551;0.0;0.11;-7.231;0.132;143.008;0.392;2022
53;"Jimmy Cooks (feat. 21 Savage)";"Drake";0.000307;0.529;0.673;2.41e-06;0.093;-4.711;0.175;165.921;0.366;2022
54;"Kill Bill";"SZA";0.0521;0.644;0.735;0.144;0.161;-5.747;0.0391;88.98;0.418;2022
55;"Romantic Homicide";"d4vd";0.453;0.571;0.544;0.00805;0.322;-10.613;0.0299;132.052;0.216;2022
56;"Anti-Hero";"Taylor Swift";0.13;0.637;0.643;1.8e-06;0.142;-6.571;0.0519;97.008;0.533;2022
57;"Sun to Me";"Zach Bryan";0.593;0.505;0.27;0.0;0.133;-9.165;0.0333;98.721;0.557;2022
58;"Rich Flex";"Drake";0.0503;0.561;0.52;1.86e-06;0.355;-9.342;0.244;153.15;0.424;2022
59;"Creepin' (with The Weeknd & 21 Savage)";"Metro Boomin";0.417;0.715;0.62;0.0;0.0822;-6.005;0.0484;97.95;0.172;2022
60;"As It Was";"Harry Styles";0.342;0.52;0.731;0.00101;0.311;-5.338;0.0557;173.93;0.662;2022
61;"Stick Season";"Noah Kahan";0.782;0.662;0.488;0.0;0.102;-6.894;0.0682;117.913;0.817;2022
62;"Superhero (Heroes & Villains) [with Future & Chris Brown]";"Metro Boomin";0.152;0.526;0.606;2.36e-06;0.194;-5.3;0.259;116.622;0.492;2022
63;"Oklahoma Smokeshow";"Zach Bryan";0.0958;0.544;0.573;0.0;0.104;-5.694;0.0356;122.977;0.233;2022
64;"Nonsense";"Sabrina Carpenter";0.0268;0.74;0.697;0.0;0.224;-4.912;0.034;138.992;0.732;2022
65;"Karma";"Taylor Swift";0.0734;0.642;0.62;0.0;0.483;-7.091;0.0666;90.02;0.0969;2022
66;"WAIT FOR U (feat. Drake & Tems)";"Future";0.314;0.463;0.642;0.0;0.0686;-4.474;0.34;83.389;0.339;2022
67;"Trance (with Travis Scott & Young Thug)";"Metro Boomin";0.18;0.571;0.549;0.0;0.168;-7.38;0.404;119.497;0.447;2022
68;"Spin Bout U";"Drake";0.01;0.773;0.701;0.0;0.163;-6.386;0.0512;129.963;0.203;2022
69;"Too Many Nights (feat. Don Toliver & with Future)";"Metro Boomin";0.189;0.684;0.671;2.37e-05;0.122;-4.392;0.0464;88.048;0.156;2022
70;"Burn, Burn, Burn";"Zach Bryan";0.897;0.508;0.296;5e-05;0.11;-10.513;0.0755;82.532;0.134;2022
71;"Calm Down (with Selena Gomez)";"Rema";0.382;0.801;0.806;0.000669;0.114;-5.206;0.0381;106.999;0.802;2022
72;"I Ain't Worried";"OneRepublic";0.0826;0.704;0.797;0.000745;0.0546;-5.927;0.0475;139.994;0.825;2022
73;"Me Porto Bonito";"Bad Bunny";0.0901;0.911;0.712;2.68e-05;0.0933;-5.105;0.0817;92.005;0.425;2022
74;"Low";"SZA";0.425;0.698;0.546;0.00314;0.16;-7.234;0.0559;145.044;0.335;2022
75;"ceilings";"Lizzy McAlpine";0.473;0.516;0.322;0.00194;0.215;-11.762;0.0292;148.005;0.261;2022
76;"ALL MINE";"Brent Faiyaz";0.428;0.617;0.378;9.16e-05;0.11;-8.54;0.0315;141.967;0.22;2022
77;"PUFFIN ON ZOOTIEZ";"Future";0.0603;0.883;0.657;0.0;0.128;-5.748;0.305;124.992;0.284;2022
78;"I Like You (A Happier Song) (with Doja Cat)";"Post Malone";0.121;0.733;0.67;0.0;0.121;-6.009;0.0751;100.964;0.472;2022
79;"The Kind of Love We Make";"Luke Combs";0.0226;0.608;0.745;6.47e-06;0.0942;-4.13;0.0277;102.025;0.464;2022
80;"Out thë way";"Yeat";0.21;0.767;0.628;8.79e-06;0.275;-7.41;0.242;128.07;0.798;2022
81;"Until I Found You (with Em Beihold) - Em Beihold Version";"Stephen Sanchez";0.777;0.551;0.55;0.0;0.202;-5.339;0.0286;101.19;0.342;2022
82;"Tití Me Preguntó";"Bad Bunny";0.0993;0.65;0.715;0.000291;0.126;-5.198;0.253;106.672;0.187;2022
83;"Kill Bill";"SZA";0.0543;0.644;0.728;0.169;0.161;-5.75;0.0351;88.993;0.43;2022
84;"Kill Bill";"SZA";0.0543;0.644;0.728;0.169;0.161;-5.75;0.0351;88.993;0.43;2022
85;"Bad Habit";"Steve Lacy";0.613;0.686;0.494;5.8e-05;0.402;-7.093;0.0355;168.946;0.7;2022
86;"Igualito a Mi Apá";"Fuerza Regida";0.188;0.758;0.812;0.0;0.0564;-3.272;0.0854;144.908;0.795;2022
87;"Lavender Haze";"Taylor Swift";0.258;0.733;0.436;0.000573;0.157;-10.489;0.08;96.985;0.0976;2022
88;"Please Don't Go";"Wyatt Flores";0.379;0.683;0.554;0.00011;0.0845;-7.487;0.05;85.455;0.452;2022
89;"P power (feat. Drake)";"Gunna";0.0199;0.828;0.591;0.000323;0.361;-6.217;0.109;119.251;0.202;2022
90;"Porch Light";"Josh Meloy";0.0585;0.647;0.477;0.0;0.159;-8.264;0.0356;142.034;0.477;2022
91;"golden hour";"JVKE";0.653;0.515;0.593;0.162;0.25;-4.801;0.0322;94.467;0.153;2022
92;"I'm Good (Blue)";"David Guetta";0.00383;0.561;0.965;7.07e-06;0.371;-3.673;0.0343;128.04;0.304;2022
93;"snowfall";"Øneheart";0.929;0.466;0.0918;0.803;0.439;-26.813;0.0269;95.014;0.0841;2022
94;"nuts";"Lil Peep";0.00872;0.51;0.739;0.0;0.111;-7.41;0.0415;62.007;0.148;2022
95;"Falling Behind";"Laufey";0.942;0.449;0.353;0.0786;0.109;-12.986;0.0915;165.888;0.55;2022
96;"Just Wanna Rock";"Lil Uzi Vert";0.0652;0.486;0.545;0.00474;0.0642;-7.924;0.0336;150.187;0.0385;2022
97;"JACKIE BROWN";"Brent Faiyaz";0.65;0.726;0.353;0.002;0.224;-10.273;0.105;137.66;0.503;2022
98;"TV";"Billie Eilish";0.83;0.412;0.236;0.00653;0.147;-15.159;0.0379;140.214;0.119;2022
99;"SPIT IN MY FACE!";"ThxSoMch";0.0464;0.73;0.785;0.0216;0.111;-6.512;0.0554;94.094;0.649;2022
100;"1000 Blunts";"$uicideboy$";0.224;0.83;0.698;1.02e-06;0.191;-6.517;0.077;132.99;0.595;2022
