date,hosp_for_covid,hosp_other_conditions,icu_for_covid,icu_other_conditions
06/21/2023,0.3951,0.6049,0.7,0.3
06/22/2023,0.3771,0.6229,0.6429,0.3571
06/23/2023,0.3596,0.6404,0.6957,0.3043
06/24/2023,0.3628,0.6372,0.5652,0.4348
06/25/2023,0.382,0.618,0.6087,0.3913
06/26/2023,0.3925,0.6075,0.5263,0.4737
06/27/2023,0.4208,0.5792,0.7143,0.2857
06/28/2023,0.3486,0.6514,0.5714,0.4286
06/29/2023,0.3409,0.6591,0.56,0.44
06/30/2023,0.3507,0.6493,0.4231,0.5769
07/01/2023,0.3891,0.6109,0.5926,0.4074
07/02/2023,0.4091,0.5909,0.6957,0.3043
07/03/2023,0.4279,0.5721,0.6818,0.3182
07/04/2023,0.4038,0.5962,0.6818,0.3182
07/05/2023,0.3906,0.6094,0.7059,0.2941
07/06/2023,0.3515,0.6485,0.72,0.28
07/07/2023,0.3925,0.6075,0.7778,0.2222
07/08/2023,0.4149,0.5851,0.6957,0.3043
07/09/2023,0.4167,0.5833,0.6522,0.3478
07/10/2023,0.4009,0.5991,0.6667,0.3333
07/11/2023,0.375,0.625,0.56,0.44
07/12/2023,0.3213,0.6787,0.5217,0.4783
07/13/2023,0.3575,0.6425,0.5,0.5
07/14/2023,0.3091,0.6909,0.4828,0.5172
07/15/2023,0.3302,0.6698,0.5938,0.4063
07/16/2023,0.364,0.636,0.5294,0.4706
07/17/2023,0.3616,0.6384,0.5769,0.4231
07/18/2023,0.3275,0.6725,0.6154,0.3846
07/19/2023,0.3543,0.6457,0.4483,0.5517
07/20/2023,0.3276,0.6724,0.5185,0.4815
07/21/2023,0.3174,0.6826,0.4444,0.5556
07/22/2023,0.312,0.688,0.4615,0.5385
07/23/2023,0.3195,0.6805,0.5217,0.4783
07/24/2023,0.312,0.688,0.6087,0.3913
07/25/2023,0.3551,0.6449,0.5172,0.4828
07/26/2023,0.3347,0.6653,0.5769,0.4231
07/27/2023,0.336,0.664,0.4667,0.5333
07/28/2023,0.3319,0.6681,0.4483,0.5517
07/29/2023,0.3542,0.6458,0.4643,0.5357
07/30/2023,0.352,0.648,0.5652,0.4348
07/31/2023,0.3454,0.6546,0.625,0.375
08/01/2023,0.3402,0.6598,0.6154,0.3846
08/02/2023,0.3648,0.6352,0.6667,0.3333
08/03/2023,0.3544,0.6456,0.7647,0.2353
08/04/2023,0.3691,0.6309,0.7273,0.2727
08/05/2023,0.3486,0.6514,0.6154,0.3846
08/06/2023,0.3613,0.6387,0.72,0.28
08/07/2023,0.3373,0.6627,0.6296,0.3704
08/08/2023,0.3333,0.6667,0.6154,0.3846
08/09/2023,0.3359,0.6641,0.5833,0.4167
08/10/2023,0.3452,0.6548,0.5455,0.4545
08/11/2023,0.3478,0.6522,0.4762,0.5238
08/12/2023,0.3383,0.6617,0.45,0.55
08/13/2023,0.3763,0.6237,0.5789,0.4211
08/14/2023,0.3986,0.6014,0.55,0.45
08/15/2023,0.3957,0.6043,0.5238,0.4762
08/16/2023,0.4206,0.5794,0.5909,0.4091
08/17/2023,0.3911,0.6089,0.5909,0.4091
08/18/2023,0.4082,0.5918,0.48,0.52
08/19/2023,0.4088,0.5912,0.4444,0.5556
08/20/2023,0.3848,0.6152,0.4828,0.5172
08/21/2023,0.3095,0.6905,0.5833,0.4167
08/22/2023,0.3707,0.6293,0.6364,0.3636
08/23/2023,0.365,0.635,0.5714,0.4286
08/24/2023,0.3651,0.6349,0.52,0.48
08/25/2023,0.3433,0.6567,0.625,0.375
08/26/2023,0.3597,0.6403,0.5714,0.4286
08/27/2023,0.3607,0.6393,0.6522,0.3478
08/28/2023,0.3552,0.6448,0.3548,0.6452
08/29/2023,0.3439,0.6561,0.5909,0.4091
08/30/2023,0.351,0.649,0.7368,0.2632
08/31/2023,0.3533,0.6467,0.7,0.3
09/01/2023,0.3774,0.6226,0.68,0.32
09/02/2023,0.403,0.597,0.6897,0.3103
09/03/2023,0.3873,0.6127,0.76,0.24
09/04/2023,0.3812,0.6188,0.7419,0.2581
09/05/2023,0.4293,0.5707,0.7742,0.2258
09/06/2023,0.4162,0.5838,0.7333,0.2667
09/07/2023,0.401,0.599,0.625,0.375
09/08/2023,0.389,0.611,0.5909,0.4091
09/09/2023,0.3702,0.6298,0.5435,0.4565
09/10/2023,0.3942,0.6058,0.6098,0.3902
09/11/2023,0.3798,0.6202,0.5,0.5
09/12/2023,0.3782,0.6218,0.6,0.4
09/13/2023,0.3836,0.6164,0.5641,0.4359
09/14/2023,0.3787,0.6213,0.5429,0.4571
09/15/2023,0.3607,0.6393,0.625,0.375
09/16/2023,0.391,0.609,0.675,0.325
09/17/2023,0.3914,0.6086,0.7059,0.2941
09/18/2023,0.3737,0.6263,0.5641,0.4359
09/19/2023,0.3661,0.6339,0.525,0.475
09/20/2023,0.3682,0.6318,0.5897,0.4103
09/21/2023,0.3482,0.6518,0.52,0.48
09/22/2023,0.3688,0.6313,0.5122,0.4878
09/23/2023,0.3838,0.6162,0.5,0.5
09/24/2023,0.3878,0.6122,0.5283,0.4717
09/25/2023,0.3886,0.6114,0.5167,0.4833
09/26/2023,0.3541,0.6459,0.5536,0.4464
09/27/2023,0.3614,0.6386,0.5472,0.4528
09/28/2023,0.3651,0.6349,0.6324,0.3676
09/29/2023,0.3746,0.6254,0.6154,0.3846
09/30/2023,0.3758,0.6242,0.5789,0.4211
10/01/2023,0.3819,0.6181,0.5345,0.4655
10/02/2023,0.381,0.619,0.5593,0.4407
10/03/2023,0.3729,0.6271,0.6327,0.3673
