Job Title,Company,Location,Min Salary,Max Salary
software developer,Google,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,Google,"Waterloo, ON",,
software developer,What Jobs,"Kitchener, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
senior software developer,CloudAid Inc,"Toronto, ON",72800.0,72800.0
software developer,Google,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0
software developer,What Jobs,"Kitchener, ON",,
software developer,Oracle,"Kitchener, ON",,
software developer,Clearpath Robotics,"Kitchener, ON",,
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.0,87320.0
cloud developer,CMS Montera,"Cambridge, ON",70000.0,90000.0
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,"ClifyX, INC",Various locations,,
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Kitchener, ON",,
software developer,What Jobs,"Waterloo, ON",,
Software Developer Co-op (Winter 2024),Ricoh Canada,"Kitchener, ON",62820.0,79544.0
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"Waterloo, ON",70000.0,85000.0
C/C++ Software Engineer,BicDroid Inc,"Waterloo, ON",96572.0,122281.0
Full-Stack Software Engineer,Manulife,"Waterloo, ON",102995.0,130415.0
Software Developer,ISN Technologies,"Waterloo, ON",75118.0,95116.0
Wire EDM Programmer Setup Operator,ODC Tooling and Molds,"Waterloo, ON",49780.0,63033.0
"Senior Software Developer, Machine Learning, Google Workspace",Google,"Waterloo, ON",,
Software Quality Engineer,Sun Life,"Waterloo, ON",61000.0,101000.0
Software Engineer,Bosch Group,"Waterloo, ON",80148.0,101486.0
