Job Title,Company,Location,Estimated Salary
software developer,Google,Location Waterloo (ON),Salary not available
software developer Verified,Aceit Digital Inc.,"Location Calgary, AB",Salary: $39.00 hourly
software developer,Titanium Agency Inc,Location Waterloo (ON),"Salary: $75,000.00 annually"
software developer Verified,MUNDAIR CONSULTING LTD.,Location Guelph (ON),Salary: $43.25 hourly
senior software developer Verified,Go Integrations,"Location Toronto, ON","Salary: $70,000.00 to $75,000.00 annually (to be negotiated)"
software developer Verified,Mako Financial Technologies Inc.,"Location Camrose, AB","Salary: $87,320.00 annually"
software developer Verified,GLOBAL DEVELOPMENT WORKS LTD.,Location Kitchener (ON),Salary: $43.50 hourly
"developer, software",Capleo Global,Location Various locations,Salary not available
software developer,"ClifyX, INC",Location Various locations,Salary not available
software developer,Capgemini Engineering CA,Location Kitchener (ON),Salary not available
software developer,Voiant Group,Location Various locations,Salary not available
cloud developer,Venuiti,Location Waterloo (ON),Salary not available
"developer, software",LogiSense Corporation,Location Kitchener (ON),Salary not available
software developer Verified,VON Canada,"Location Ottawa, ON","Salary: $65,996.00 to $71,551.00 annually (to be negotiated)"
