Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
software developer,Onsemi,"Waterloo, ON",,,2023-10-11
senior software developer,Go Integrations,"Toronto, ON",70000.00,75000.00,2023-10-11
software developer,Pegmatis Inc.,"Kitchener, ON",121828.50,121828.50,2023-10-11
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-10-11
software developer,Pegmatis Inc.,"Guelph, ON",121462.47,121462.47,2023-10-11
software developer,Pegmatis Inc.,"Cambridge, ON",121318.65,121318.65,2023-10-11
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.00,87320.00,2023-10-11
software developer,Capleo Global,Various locations,,,2023-10-11
software developer,Virtek Vision,"Waterloo, ON",,,2023-10-11
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0,2023-10-11
software developer,Capgemini Engineering CA,"Kitchener, ON",,,2023-10-11
software developer,Voiant Group,Various locations,,,2023-10-11
software developer,LogiSense Corporation,"Kitchener, ON",,,2023-10-11
cloud developer,Venuiti,"Waterloo, ON",,,2023-10-11
software developer,VON Canada,"Ottawa, ON",65996.00,71551.00,2023-10-11
