Job Title,Company,Location,Estimated Salary
Software Developer,Navitas Vehicle Systems,"— Waterloo, ON","Estimated: $61,435 - $77,790 a year"
Software Developer Co-op (Winter 2024),Ricoh Canada,"— Kitchener, ON","Estimated: $62,820 - $79,544 a year"
C/C++ Software Engineer,BicDroid Inc,"— Waterloo, ON","Estimated: $96,572 - $122,281 a year"
Software Developer,Ricoh Canada,"— Kitchener, ON","Estimated: $84,461 - $106,946 a year"
Firmware Developer- New Graduate,Siemens,"— Kitchener, ON","Estimated: $81,879 - $103,677 a year"
Web Developer (AEM Architect),BlackBerry,"— Waterloo, ON","Estimated: $83,601 - $105,858 a year"
Software Engineer,Bosch Group,"— Waterloo, ON","Estimated: $80,148 - $101,486 a year"
Software Developer,SHOPEDGE SOFTWARE INC,"— Kitchener, ON","$85,000 - $110,000 a year"
Software Developer,Flanagan Foodservice,"— Kitchener, ON","Estimated: $63,404 - $80,283 a year"
Software Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,118 - $95,116 a year"
Software Developer I,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $88,372 - $111,899 a year"
Software Developer in Test and Automation (Intermediate/Senior),RideCo,"— Waterloo, ON","$90,000 - $110,000 a year"
Manufacturing Software Developer – Test Station,Ford Motor Company,"— Waterloo, ON","Estimated: $82,246 - $104,141 a year"
Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $68,117 - $86,251 a year"
Java Developer (Backend),Prospect,"— Kitchener, ON","Estimated: $105,798 - $133,965 a year"
Software Development Engineer in Test,Sun Life,"— Waterloo, ON","$61,000 - $101,000 a year"
"Senior Software Developer, Machine Learning, Google Workspace",Google,"— Waterloo, ON",N/A
Senior Software Developer,Encircle,"— Kitchener, ON","Estimated: $103,935 - $131,605 a year"
Full-Stack Software Engineer,Manulife,"— Waterloo, ON","Estimated: $76,234 - $96,529 a year"
Software Developer,MarshallZehr,"— Waterloo, ON","Estimated: $78,647 - $99,584 a year"
Senior .NET Developer,Venuiti,"— Waterloo, ON","Estimated: $74,144 - $93,883 a year"
Back-End Software Engineer,Manulife,"— Waterloo, ON","Estimated: $109,759 - $138,979 a year"
Software Engineer,NCR,"— Waterloo, ON","Estimated: $108,578 - $137,484 a year"
Software Developer - Backend,Green Brick Labs,"— Kitchener, ON","Estimated: $50,677 - $64,169 a year"
Senior Java Developer,Venuiti,"— Kitchener, ON","Estimated: $86,589 - $109,641 a year"
Senior Full-Stack Software Engineer,Manulife,"— Waterloo, ON","Estimated: $102,123 - $129,310 a year"
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"— Kitchener, ON","$90,000 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"— Kitchener-Waterloo, ON",N/A
Health Records Tech Coder,Grand River Hospital,"— Kitchener, ON","Estimated: $46,065 - $58,328 a year"
Software Developer in Test,onsemi,"— Waterloo, ON","Estimated: $76,229 - $96,523 a year"
Software Test Developer,D2L,"— Kitchener, ON","Estimated: $86,156 - $109,093 a year"
Test Engineer,KA Imaging Inc,"— Waterloo, ON","Estimated: $75,195 - $95,214 a year"
Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $85,753 - $108,582 a year"
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"— Waterloo, ON","Estimated: $64,563 - $81,751 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $89,321 - $113,100 a year"
Senior Fullstack Software Developer,Geotab,"— Waterloo, ON","Estimated: $89,881 - $113,809 a year"
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"— Waterloo, ON","Estimated: $93,765 - $118,728 a year"
C/C++ Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $86,516 - $109,548 a year"
Software Developer,opentext,"— Waterloo, ON","Estimated: $72,216 - $91,442 a year"
Senior Software Engineer (API/.NET),Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Staff Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $105,998 - $134,217 a year"
Software Engineer,BicDroid Inc.,"— Waterloo, ON","Estimated: $80,288 - $101,663 a year"
software developer,Global Operation Integrity Inc.,"— Waterloo, ON","$45,000 - $65,000 a year"
Full Stack Web Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $63,620 - $80,557 a year"
Senior Simulation Developer,Clearpath Robotics Inc.,"— Kitchener, ON","$123,000 - $150,000 a year"
Full-Stack Developer,Descartes,"— Waterloo, ON","Estimated: $95,725 - $121,209 a year"
Senior Cloud Software Developer,Siemens,"— Kitchener, ON","Estimated: $99,267 - $125,694 a year"
Staff DevOps Developer,Mappedin,"— Waterloo, ON","Estimated: $73,268 - $92,774 a year"
Lead Software Engineer (PowerCenter/AWS/Mainframe),Sun Life,"— Waterloo, ON","$82,000 - $135,000 a year"
Software Test Developer,D2L,"— Kitchener, ON","Estimated: $85,933 - $108,810 a year"
Data Scientist and Search API Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $76,935 - $97,417 a year"
Software Engineer - Full Stack,MCAP,"— Waterloo, ON","Estimated: $88,820 - $112,466 a year"
Sr. Software Engineer,Dream Catcher Group Limited,"— Kitchener, ON","$90,000 - $100,000 a year"
Senior Industrial Simulation Developer,Clearpath Robotics Inc.,"— Kitchener, ON","$69,179 - $152,189 a year"
Senior Software Engineer,NCR,"— Waterloo, ON","Estimated: $100,064 - $126,704 a year"
Electrical/Controls Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,447 - $95,532 a year"
Senior Staff Backend Engineer,Recruiting From Scratch,"— Waterloo, ON","$190,000 - $250,000 a year"
.NET Software Developer,ISB Global Services,"— Guelph, ON","Estimated: $96,837 - $122,617 a year"
Senior Software Developer,onsemi,"— Waterloo, ON","Estimated: $101,714 - $128,793 a year"
Front End Developer (Hybrid remote friendly),Imagine Communications,"— Waterloo, ON","Estimated: $56,671 - $71,758 a year"
Information Technology Specialist - Research Software Support,University of Waterloo,"— Waterloo, ON","Estimated: $68,015 - $86,123 a year"
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"— Waterloo, ON","Estimated: $95,899 - $121,430 a year"
Experienced Full Stack Web Developer,Boardera Software,"— Kitchener, ON","Estimated: $69,716 - $88,276 a year"
Senior Software Developer,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $99,018 - $125,379 a year"
Web Application Developer,Fivewalls,"— Waterloo, ON","Estimated: $67,100 - $84,964 a year"
Staff Software Developer,ApplyBoard,"— Kitchener, ON","Estimated: $80,805 - $102,318 a year"
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"— Waterloo, ON","Estimated: $57,375 - $72,650 a year"
Staff DevOps Developer,Mappedin,"— Kitchener-Waterloo, ON","Estimated: $73,268 - $92,774 a year"
Software Engineer Senior,Altair Engineering,"— Waterloo, ON","Estimated: $101,626 - $128,681 a year"
"Senior Staff Software Developer, Precision Health Platform",Verily,"— Waterloo, ON","Estimated: $110,286 - $139,646 a year"
Unreal Engine C++ Developer II - SDK,Mawari,"— Waterloo, ON","Estimated: $95,624 - $121,082 a year"
Data Scientist and Search API Developer,opentext,"— Waterloo, ON","Estimated: $76,935 - $97,417 a year"
