Job Title,Company,Location,Min Salary,Max Salary
software developer,Google,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,Google,"Waterloo, ON",,
software developer,What Jobs,"Kitchener, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
senior software developer,CloudAid Inc,"Toronto, ON",72800.0,72800.0
software developer,Google,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0
software developer,What Jobs,"Kitchener, ON",,
software developer,Oracle,"Kitchener, ON",,
software developer,Clearpath Robotics,"Kitchener, ON",,
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.00,87320.00
cloud developer,CMS Montera,"Cambridge, ON",70000.00,90000.00
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Waterloo, ON",,
software developer,"ClifyX, INC",Various locations,,
software developer,What Jobs,"Waterloo, ON",,
software developer,What Jobs,"Kitchener, ON",,
software developer,What Jobs,"Waterloo, ON",,
