Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Full Stack Software Engineer,Manulife,"Waterloo, ON",89849,113769,2023-11-01
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404,80283,2023-11-01
Software Developer,Ricoh Canada,"Kitchener, ON",84461,106946,2023-11-01
Cloud Software Developer,HP,"Kitchener, ON",99722,126270,2023-11-01
"Software Developer III, Google Workspace",Google,"Waterloo, ON",,,2023-11-01
Software Developer,ISN Technologies,"Waterloo, ON",75118,95116,2023-11-01
Software Developer - AI Trainer (Contract),DataAnnotation,"Waterloo, ON",85280,85280,2023-11-01
BI Report Developer-Decision Support,St. Mary’s General Hospital,"Kitchener, ON",76960,,2023-11-01
"Senior Software Developer, Google Cloud Compute",Google,"Kitchener, ON",,,2023-11-01
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",85000,110000,2023-11-01
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710,130054,2023-11-01
AI Software Development Engineer,"Musashi AI North America, Inc.","Waterloo, ON",84264,106697,2023-11-01
Software Quality Engineer,Sun Life,"Waterloo, ON",61000,101000,2023-11-01
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"Waterloo, ON",70000,85000,2023-11-01
software engineer,NAVBLUE INC,"Waterloo, ON",70000,110000,2023-11-01
Software Engineer,Bosch Group,"Waterloo, ON",80148,101486,2023-11-01
Software Developer,BicDroid Inc.,"Waterloo, ON",68117,86251,2023-11-01
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805,102318,2023-11-01
Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",82094,103949,2023-11-01
"Software Developer III, Google Cloud Data Management",Google,"Waterloo, ON",,,2023-11-01
Software Developer,MarshallZehr,"Waterloo, ON",78647,99584,2023-11-01
Software Developer,D2L,"Kitchener, ON",89321,113100,2023-11-01
"Intermediate Technology Specialist, Digital Developer",Equitable,"Waterloo, ON",86531,109567,2023-11-01
Staff DevOps Developer,Mappedin,"Kitchener, ON",73268,92774,2023-11-01
Senior Cloud Software Developer,Siemens,"Kitchener, ON",99267,125694,2023-11-01
Software Developer,D2L,"Kitchener, ON",94983,120269,2023-11-01
Full Stack Engineer,ENERZA,"Waterloo, ON",81053,102632,2023-11-01
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746,107308,2023-11-01
Full-Stack Developer (Python),Descartes,"Waterloo, ON",89003,112698,2023-11-01
Sr. Application Developer,The Judge Group,"Elmira, ON",,,2023-11-01
Senior Software Developer,Geotab,"Waterloo, ON",89881,113809,2023-11-01
Java Developer (Backend),Prospect,"Kitchener, ON",105798,133965,2023-11-01
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"Waterloo, ON",,,2023-11-01
Software Development Engineer in Test,Sun Life,"Waterloo, ON",61000,101000,2023-11-01
Full stack developer (Remote),Applied Brain Research,"Waterloo, ON",70000,100000,2023-11-01
Full Stack Web Developer,BicDroid Inc.,"Waterloo, ON",63620,80557,2023-11-01
Web Application Developer,Fivewalls,"Waterloo, ON",67100,84964,2023-11-01
Lead Software Developer,Open Text Corporation,"Waterloo, ON",99852,126435,2023-11-01
Software Engineer II,Sandvine,"Waterloo, ON",99767,126327,2023-11-01
IT Software Developer - (Salesforce),opentext,"Waterloo, ON",84511,107010,2023-11-01
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677,64169,2023-11-01
Software Developer (Angular),Descartes,"Waterloo, ON",80088,101409,2023-11-01
Senior Software Developer - Full Stack,Camis,"Guelph, ON",85263,107962,2023-11-01
WordPress Developer,RKD Web Studios,"Guelph, ON",64142,81218,2023-11-01
Staff Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",105998,134217,2023-11-01
Senior Integration Developer,Carta,"Waterloo, ON",91155,115422,2023-11-01
Full Stack Developer,Planitar Inc.,"Waterloo, ON",84743,107304,2023-11-01
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",86516,109548,2023-11-01
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"Waterloo, ON",64563,81751,2023-11-01
Frontend Software Developer - Intermediate,Moneris Solutions,Various locations,72504,91807,2023-11-01
Jr. Application Developer,The Judge Group,"Elmira, ON",,,2023-11-01
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"Waterloo, ON",63567,80490,2023-11-01
Sr. Production Support Specialist,Open Text Corporation,"Waterloo, ON",67062,84916,2023-11-01
"Developer, Application Solutions",CAA North & East Ontario,Various locations,,,2023-11-01
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",90000,90000,2023-11-01
