Job Title,Company,Location,Min Salary,Max Salary
Controls Programmer (Lead),Prime Automation Inc,"Waterloo, ON",,
Senior Software Developer,Dejero Labs Inc.,"Waterloo, ON",99018,125379
Fullstack Senior Software Developer,Geotab,"Waterloo, ON",89815,113725
Web Application Developer,Fivewalls,"Waterloo, ON",67100,84964
"Vice President, Global Real Estate and Facilities",Open Text Corporation,"Waterloo, ON",97770,123798
Software Engineer,Magnet Forensics,"Waterloo, ON",105959,134168
Business Development Manager,MEDA,"Waterloo, ON",79422,100566
Senior Direct3D Software Developer,ALLUDO,"Waterloo, ON",109785,139013
Lead AEM Software Engineer,Sun Life,"Waterloo, ON",82000,135000
"Lead Technology Specialist, Digital Developer",Equitable,"Waterloo, ON",99784,126349
Business Analyst,Open Text Corporation,"Waterloo, ON",73381,92917
Senior Cloud Software Developer,Siemens,"Kitchener, ON",99267,125694
WordPress Developer,RKD Web Studios,"Guelph, ON",64142,81218
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",66560,
Cloud Software Developer,HP,"Kitchener, ON",108798,137763
computer numerical control (CNC) programmer,Heroux Devtek,"Kitchener, ON",70000,85000
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"Waterloo, ON",81333,102986
Experienced Full Stack Web Developer,Boardera Software,"Kitchener, ON",69716,88276
Lead Pega Software Engineer,Sun Life,"Kitchener, ON",82000,135000
Sr. Revenue Operations Analyst,Open Text Corporation,"Waterloo, ON",60804,76992
Senior Software Developer,Brock Solutions,"Kitchener, ON",100193,126867
"Senior Team Lead, Software Development",Geotab,"Waterloo, ON",107422,136020
Staff DevOps Developer,Mappedin,"Kitchener, ON",73268,92774
.NET Software Developer,ISB Global Services,"Guelph, ON",96837,122617
Temenos T24 Developer (Remote),HVN Solutions,"Waterloo, ON",106539,134902
Sr. Production Support Specialist,Open Text Corporation,"Waterloo, ON",67062,84916
Java WebObjects Web Developer,LifeLearn,"Guelph, ON",78081,98868
Technical Support Specialist,Open Text Corporation,"Waterloo, ON",52041,65896
Senior Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",119813,151711
Senior Software Developer,D2L,"Kitchener, ON",105533,133629
Senior Simulation Developer,Clearpath Robotics Inc.,"Kitchener, ON",123000,150000
Web Developer II (AEM Architect),BlackBerry,"Waterloo, ON",83601,105858
Associate Product Support Specialist,opentext,"Waterloo, ON",47910,60665
"Senior Staff Software Developer, Precision Health Platform",Verily,"Waterloo, ON",110286,139646
Staff Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",105998,134217
Application Developer,Stantec,"Waterloo, ON",94215,119297
Sr. Product Manager,Open Text Corporation,"Waterloo, ON",110674,140139
"Developer, Power Platform",Addenda Capital,"Guelph, ON",69047,87428
Sr. Order Administration Specialist,Open Text Corporation,"Waterloo, ON",50742,64250
Full Stack Engineer,Just Play Sports Solutions LLC,"Kitchener, ON",85716,108535
Senior Cloud Ops Engineer,Magnet Forensics,"Waterloo, ON",106188,134458
"Intermediate Image Specialist, Product Developer",Christie Digital,"Kitchener, ON",66503,84208
WordPress Developer,RKD,"Guelph, ON",70359,89090
Unreal Engine C++ Developer II - SDK,Mawari,"Waterloo, ON",95624,121082
Workplace Security Manager,Open Text Corporation,"Waterloo, ON",93317,118161
Senior Java Engineer - 8+ years,Venuiti,"Kitchener, ON",97730,123748
Controls System Software Designer- Senior,ATS Automation Tooling Systems,"Cambridge, ON",73339,92863
Sr. Software Engineer,MCAP,"Waterloo, ON",97165,123032
Software Engineering Manager,ATS Automation Tooling Systems,"Cambridge, ON",97356,123275
Workplace Security Manager,opentext,"Waterloo, ON",93317,118161
Electrical/Controls Developer,ISN Technologies,"Waterloo, ON",75447,95532
Master Data Management - Data/Process Analyst,Open Text Corporation,"Waterloo, ON",86934,110077
Benefits Manager,Open Text Corporation,"Waterloo, ON",84236,106661
Sr. Technical Support Specialist,Open Text Corporation,"Waterloo, ON",60453,76547
Senior Mobile Developer,Sun Life,"Waterloo, ON",82000,135000
Client Manager,opentext,"Waterloo, ON",83619,105881
Senior Software Engineer,Carta,"Waterloo, ON",104700,132574
Senior Cloud Engineer,Ontario Health,Various locations,92823,117535
Senior Dotnet Developer,Ag Energy Co-operative Ltd.,"Guelph, ON",102924,130324
Build System Developer,MAXON Computer,"Waterloo, ON",84898,107499
"Director, Billing Operations",Open Text Corporation,"Waterloo, ON",86218,109171
CNC Programmer,Chervin,"St. Clements, ON",43003,54452
Network Engineer - IT & Cloud Infrastructure,Siemens,"Kitchener, ON",67724,85754
Sr. Product Manager,opentext,"Waterloo, ON",110674,140139
Senior Software Developer,D2L,"Kitchener, ON",105453,133527
Project Manager,Ontario Health,Various locations,96287,121921
Automation Engineer,Nfinite Nanotech,"Waterloo, ON",75456,95544
Technical Support Specialist,opentext,"Waterloo, ON",52041,65896
Senior Software Researcher,opentext,"Waterloo, ON",82528,104499
Senior Software Researcher,Open Text Corporation,"Waterloo, ON",82528,104499
Senior ASP.NET Application Developer,RKD Web Studios,"Guelph, ON",72638,91976
Senior Controls Software Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",87859,111249
CNC Programmer,Héroux-Devtek Inc.,"Kitchener, ON",60055,76043
"Director, Product Marketing",Open Text Corporation,"Waterloo, ON",104966,132911
Senior Dev Sec Ops Specialist,BlackBerry,"Waterloo, ON",94278,119377
Key Account Business Development Leader (Global After Sales & Service),ATS Automation Tooling Systems,"Cambridge, ON",46035,58291
Sr. Production Support Specialist,opentext,"Waterloo, ON",67062,84916
Business Analyst,opentext,"Waterloo, ON",73381,92917
"Senior Technology Specialist, Digital Developer",Equitable,"Waterloo, ON",84294,106735
CNC Machinist/Programmer,Guelph Manufacturing Group Inc.,"Guelph, ON",55034,69685
Business Development Representative,The Syscomm Group,"Waterloo, ON",50154,63506
SQL Database Administrator(Intermediate Experienced),Open Text Corporation,"Waterloo, ON",93137,117932
Innovation Architect,Open Text Corporation,"Waterloo, ON",71719,90812
DevOps Engineer,Palitronica Inc.,"Waterloo, ON",97397,123327
Staff Machine Learning Developer,FullStory,"Waterloo, ON",93029,117796
Client Manager,Open Text Corporation,"Waterloo, ON",83619,105881
Collections Specialist,Open Text Corporation,"Waterloo, ON",52321,66251
Sr. Program Manager (Contracts),Open Text Corporation,"Waterloo, ON",69487,87986
Jr. Full Stack Development Training & Paid Internship (SFS),Prepr,"Guelph, ON",,
Apache Camel Developer,Procom,Various locations,,
Senior Industrial Simulation Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",87699,111046
"Sr. Director, IT PMO",opentext,"Waterloo, ON",108651,137576
Sr. Revenue Operations Analyst,opentext,"Waterloo, ON",60804,76992
Senior Cloud Security Operations Engineer - Remote,Revvity,"Guelph, ON",118613,150190
Collections Specialist (Escalations),Open Text Corporation,"Waterloo, ON",53614,67888
Sr. Financial Analyst,Open Text Corporation,"Waterloo, ON",64989,82291
Lead Financial Analyst,Open Text Corporation,"Waterloo, ON",74256,94024
Control Systems Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",62955,79715
Senior Control Software Engineer,Canadian Solar,"Guelph, ON",111394,141050
"Sr. Director, IT PMO",Open Text Corporation,"Waterloo, ON",108651,137576
Perception Team Lead - Localization and Mapping,OTTO Motors by Rockwell Automation,"Kitchener, ON",96237,121857
Principal IT Software Engineer,opentext,"Waterloo, ON",90589,114706
"Chief Architect, Cloud & Cybersecurity","Canon Medical Informatics, Inc.","Waterloo, ON",77166,97710
"Vice President, Global Real Estate and Facilities",opentext,"Waterloo, ON",97770,123798
"Sr. Manager, Workplace Security",Open Text Corporation,"Waterloo, ON",91312,115622
Production Support Specialist,Open Text Corporation,"Waterloo, ON",53157,67309
Senior Software Architect,Dejero Labs Inc.,"Waterloo, ON",97782,123813
Staff Perception Developer - Localization and Mapping,OTTO Motors by Rockwell Automation,"Kitchener, ON",99096,125478
Sr. Cloud Engineer,Huxley,"Waterloo, ON",95089,120404
Senior Controls System Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",78510,99411
Sr. Systems Analyst - IAM,Open Text Corporation,"Waterloo, ON",73009,92446
Collections Specialist,opentext,"Waterloo, ON",52321,66251
"VP, Enterprise Architecture",Open Text Corporation,"Waterloo, ON",81059,102639
Sr. Technical Support Specialist,opentext,"Waterloo, ON",60453,76547
Vulkan Graphics Engineer - Global Remote,CoreAVI,"Waterloo, ON",99086,125465
Lead Security Compliance Analyst - Compliance Strategy,Open Text Corporation,"Waterloo, ON",79794,101037
Lead Embedded Software Developer,Molex,"Waterloo, ON",102585,129896
"Director, Billing Operations",opentext,"Waterloo, ON",86218,109171
Sr. Order Administration Specialist,opentext,"Waterloo, ON",50742,64250
"Senior Software Engineer, RippleNet Payments",Ripple Labs,"Kitchener, ON",114519,145006
Sr. Software Developer- Short-term Contract,ApplyBoard,"Kitchener, ON",77458,98079
Senior Simulation Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",94378,119504
"Senior Software Engineer - Risk Controls, Health",Cash App,"Kitchener, ON",141237,178838
Digital Marketing Manager-Vendor Programs,Open Text Corporation,"Waterloo, ON",83776,106079
