Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
software developer,Global Operation Integrity Inc.,"Waterloo, ON",45000.0,65000.0,2023-11-22
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-11-22
software developer,N. Harris Computer Corporation - USA,"Cambridge, ON",,,2023-11-22
software developer,Ford Motor Company,"Waterloo, ON",,,2023-11-22
software developer,onsemi,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,University of Waterloo,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Kitchener, ON",,,2023-11-22
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
senior software developer,CloudAid Inc,"Toronto, ON",72800.0,72800.0,2023-11-22
software developer,onsemi,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Kitchener, ON",,,2023-11-22
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0,2023-11-22
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.0,87320.0,2023-11-22
software developer,RideCo,"Waterloo, ON",,,2023-11-22
software developer,Clearpath Robotics,"Kitchener, ON",,,2023-11-22
cloud developer,CMS Montera,"Cambridge, ON",70000.0,90000.0,2023-11-22
software developer,Sun Life Financial,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,Global Operation Integrity Inc.,"Waterloo, ON",45000.0,65000.0,2023-11-22
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-11-22
software developer,N. Harris Computer Corporation - USA,"Cambridge, ON",,,2023-11-22
software developer,Ford Motor Company,"Waterloo, ON",,,2023-11-22
software developer,onsemi,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,University of Waterloo,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Kitchener, ON",,,2023-11-22
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
senior software developer,CloudAid Inc,"Toronto, ON",72800.0,72800.0,2023-11-22
software developer,onsemi,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Kitchener, ON",,,2023-11-22
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0,2023-11-22
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.0,87320.0,2023-11-22
software developer,RideCo,"Waterloo, ON",,,2023-11-22
software developer,Clearpath Robotics,"Kitchener, ON",,,2023-11-22
cloud developer,CMS Montera,"Cambridge, ON",70000.0,90000.0,2023-11-22
software developer,Sun Life Financial,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
software developer,What Jobs,"Waterloo, ON",,,2023-11-22
cloud developer,CMS Montera,"Cambridge, ON",70000.0,90000.0,2023-11-22
Software Developer,Navitas Vehicle Systems,"Waterloo, ON",61435.0,77790.0,2023-11-22
Software Developer Co-op (Winter 2024),Ricoh Canada,"Kitchener, ON",62820.0,79544.0,2023-11-22
C/C++ Software Engineer,BicDroid Inc,"Waterloo, ON",96572.0,122281.0,2023-11-22
Software Developer,Ricoh Canada,"Kitchener, ON",84461.0,106946.0,2023-11-22
Firmware Developer- New Graduate,Siemens,"Kitchener, ON",81879.0,103677.0,2023-11-22
Web Developer (AEM Architect),BlackBerry,"Waterloo, ON",83601.0,105858.0,2023-11-22
Software Engineer,Bosch Group,"Waterloo, ON",80148.0,101486.0,2023-11-22
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",85000.0,110000.0,2023-11-22
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404.0,80283.0,2023-11-22
Software Developer,ISN Technologies,"Waterloo, ON",75118.0,95116.0,2023-11-22
Software Developer I,ATS Automation Tooling Systems,"Cambridge, ON",88372.0,111899.0,2023-11-22
Software Developer in Test and Automation (Intermediate/Senior),RideCo,"Waterloo, ON",90000.0,110000.0,2023-11-22
Manufacturing Software Developer – Test Station,Ford Motor Company,"Waterloo, ON",82246.0,104141.0,2023-11-22
Software Developer,BicDroid Inc.,"Waterloo, ON",68117.0,86251.0,2023-11-22
Java Developer (Backend),Prospect,"Kitchener, ON",105798.0,133965.0,2023-11-22
Software Development Engineer in Test,Sun Life,"Waterloo, ON",61000.0,101000.0,2023-11-22
"Senior Software Developer, Machine Learning, Google Workspace",Google,"Waterloo, ON",,,2023-11-22
Senior Software Developer,Encircle,"Kitchener, ON",103935.0,131605.0,2023-11-22
Full-Stack Software Engineer,Manulife,"Waterloo, ON",76234.0,96529.0,2023-11-22
Software Developer,MarshallZehr,"Waterloo, ON",78647.0,99584.0,2023-11-22
Senior .NET Developer,Venuiti,"Waterloo, ON",74144.0,93883.0,2023-11-22
Back-End Software Engineer,Manulife,"Waterloo, ON",109759.0,138979.0,2023-11-22
Software Engineer,NCR,"Waterloo, ON",108578.0,137484.0,2023-11-22
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677.0,64169.0,2023-11-22
Senior Java Developer,Venuiti,"Kitchener, ON",86589.0,109641.0,2023-11-22
Senior Full-Stack Software Engineer,Manulife,"Waterloo, ON",102123.0,129310.0,2023-11-22
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",90000.0,90000.0,2023-11-22
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746.0,107308.0,2023-11-22
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-11-22
Health Records Tech Coder,Grand River Hospital,"Kitchener, ON",46065.0,58328.0,2023-11-22
Software Developer in Test,onsemi,"Waterloo, ON",76229.0,96523.0,2023-11-22
Software Test Developer,D2L,"Kitchener, ON",86156.0,109093.0,2023-11-22
Test Engineer,KA Imaging Inc,"Waterloo, ON",75195.0,95214.0,2023-11-22
Software Developer,Brock Solutions,"Kitchener, ON",85753.0,108582.0,2023-11-22
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"Waterloo, ON",64563.0,81751.0,2023-11-22
Software Developer,D2L,"Kitchener, ON",89321.0,113100.0,2023-11-22
Senior Fullstack Software Developer,Geotab,"Waterloo, ON",89881.0,113809.0,2023-11-22
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"Waterloo, ON",93765.0,118728.0,2023-11-22
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",86516.0,109548.0,2023-11-22
Software Developer,opentext,"Waterloo, ON",72216.0,91442.0,2023-11-22
Senior Software Engineer (API/.NET),Sun Life,"Waterloo, ON",82000.0,135000.0,2023-11-22
Staff Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",105998.0,134217.0,2023-11-22
Software Engineer,BicDroid Inc.,"Waterloo, ON",80288.0,101663.0,2023-11-22
software developer,Global Operation Integrity Inc.,"Waterloo, ON",45000.0,65000.0,2023-11-22
Full Stack Web Developer,BicDroid Inc.,"Waterloo, ON",63620.0,80557.0,2023-11-22
Senior Simulation Developer,Clearpath Robotics Inc.,"Kitchener, ON",123000.0,150000.0,2023-11-22
Full-Stack Developer,Descartes,"Waterloo, ON",95725.0,121209.0,2023-11-22
Senior Cloud Software Developer,Siemens,"Kitchener, ON",99267.0,125694.0,2023-11-22
Staff DevOps Developer,Mappedin,"Waterloo, ON",73268.0,92774.0,2023-11-22
Lead Software Engineer (PowerCenter/AWS/Mainframe),Sun Life,"Waterloo, ON",82000.0,135000.0,2023-11-22
Software Test Developer,D2L,"Kitchener, ON",85933.0,108810.0,2023-11-22
Data Scientist and Search API Developer,Open Text Corporation,"Waterloo, ON",76935.0,97417.0,2023-11-22
Software Engineer - Full Stack,MCAP,"Waterloo, ON",88820.0,112466.0,2023-11-22
Sr. Software Engineer,Dream Catcher Group Limited,"Kitchener, ON",90000.0,100000.0,2023-11-22
Senior Industrial Simulation Developer,Clearpath Robotics Inc.,"Kitchener, ON",69179.0,152189.0,2023-11-22
Senior Software Engineer,NCR,"Waterloo, ON",100064.0,126704.0,2023-11-22
Electrical/Controls Developer,ISN Technologies,"Waterloo, ON",75447.0,95532.0,2023-11-22
Senior Staff Backend Engineer,Recruiting From Scratch,"Waterloo, ON",190000.0,250000.0,2023-11-22
.NET Software Developer,ISB Global Services,"Guelph, ON",96837.0,122617.0,2023-11-22
Senior Software Developer,onsemi,"Waterloo, ON",101714.0,128793.0,2023-11-22
Front End Developer (Hybrid remote friendly),Imagine Communications,"Waterloo, ON",56671.0,71758.0,2023-11-22
Information Technology Specialist - Research Software Support,University of Waterloo,"Waterloo, ON",68015.0,86123.0,2023-11-22
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"Waterloo, ON",95899.0,121430.0,2023-11-22
Experienced Full Stack Web Developer,Boardera Software,"Kitchener, ON",69716.0,88276.0,2023-11-22
Senior Software Developer,Dejero Labs Inc.,"Waterloo, ON",99018.0,125379.0,2023-11-22
Web Application Developer,Fivewalls,"Waterloo, ON",67100.0,84964.0,2023-11-22
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805.0,102318.0,2023-11-22
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375.0,72650.0,2023-11-22
Staff DevOps Developer,Mappedin,"Kitchener, ON",73268.0,92774.0,2023-11-22
Software Engineer Senior,Altair Engineering,"Waterloo, ON",101626.0,128681.0,2023-11-22
"Senior Staff Software Developer, Precision Health Platform",Verily,"Waterloo, ON",110286.0,139646.0,2023-11-22
Unreal Engine C++ Developer II - SDK,Mawari,"Waterloo, ON",95624.0,121082.0,2023-11-22
Data Scientist and Search API Developer,opentext,"Waterloo, ON",76935.0,97417.0,2023-11-22
