Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Full Stack Developer,Planitar Inc.,"Waterloo, ON",84743.0,107304.0,2023-10-04
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"Waterloo, ON",95899.0,121430.0,2023-10-04
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",84611.0,107136.0,2023-10-04
Software Deployment Engineer,Brock Solutions,"Kitchener, ON",75889.0,96093.0,2023-10-04
Senior Software Engineer,NCR,"Waterloo, ON",100064.0,126704.0,2023-10-04
Staff DevOps Engineer,Mappedin,"Kitchener, ON",75992.0,96223.0,2023-10-04
Software Engineer,BicDroid Inc.,"Waterloo, ON",75103.0,95098.0,2023-10-04
"Manager, Software Development",D2L,"Kitchener, ON",102763.0,130122.0,2023-10-04
Vulkan Graphics Engineer - Global Remote,CoreAVI,"Waterloo, ON",99086.0,125465.0,2023-10-04
"Lead Technology Specialist, Digital Developer",Equitable Life of Canada,"Waterloo, ON",100782.0,127613.0,2023-10-04
Principal Cloud Engineer,BMO Financial Group,Various locations,112974.0,143051.0,2023-10-04
"Senior Staff Software Developer, Precision Health Platform",Verily,"Waterloo, ON",110286.0,139646.0,2023-10-04
Fullstack Senior Software Developer,Geotab,"Waterloo, ON",89815.0,113725.0,2023-10-04
Senior Software Developer,Geotab,"Waterloo, ON",93651.0,118584.0,2023-10-04
Jr. Web Development Training & Internship,Prepr,"Guelph, ON",,,2023-10-04
IT Software Developer - (Salesforce),opentext,"Waterloo, ON",92295.0,116867.0,2023-10-04
Machine Learning Engineer,Equitable Life of Canada,"Waterloo, ON",79985.0,101279.0,2023-10-04
Sr. Software Developer,opentext,"Waterloo, ON",95129.0,120454.0,2023-10-04
IT Software Developer - (Salesforce),Open Text Corporation,"Waterloo, ON",92295.0,116867.0,2023-10-04
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"Kitchener, ON",87719.0,111071.0,2023-10-04
"Product Developer, Software - Advanced Research",Christie Digital,"Kitchener, ON",78402.0,99275.0,2023-10-04
Software Engineer - Design Verification,Ford Motor Company,"Waterloo, ON",85527.0,108296.0,2023-10-04
