Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Software Developer,Titanium Agency Inc,"Waterloo, ON",,,2023-10-18
"Software Developer II, Site Reliability Development, Google Cloud",Google,"Waterloo, ON",,,2023-10-18
Software Test Engineer,Linamar Corp,"Guelph, ON",78451,99336,2023-10-18
Software Developer,ISN Technologies,"Waterloo, ON",75118,95116,2023-10-18
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"Waterloo, ON",70000,85000,2023-10-18
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"Waterloo, ON",,,2023-10-18
Software Engineer,Bosch Group,"Waterloo, ON",80148,101486,2023-10-18
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",85000,110000,2023-10-18
Senior Software Developer (Delphi),Descartes,"Waterloo, ON",117005,148155,2023-10-18
Software Developer in Test,onsemi,"Waterloo, ON",74662,94539,2023-10-18
Software Test Developer,D2L,"Kitchener, ON",85933,108810,2023-10-18
Software Engineer II,Sandvine,"Waterloo, ON",99767,126327,2023-10-18
FPGA Developer,Christie Digital,"Kitchener, ON",82097,103953,2023-10-18
Backend Developer,Descartes,"Waterloo, ON",87218,110438,2023-10-18
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746,107308,2023-10-18
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677,64169,2023-10-18
ReactJS Developer,Venuiti,"Waterloo, ON",75527,95635,2023-10-18
"Senior Staff Software Specialist, Google Cloud",Google,"Waterloo, ON",,,2023-10-18
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710,130054,2023-10-18
Software Developer,D2L,"Kitchener, ON",89321,113100,2023-10-18
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404,80283,2023-10-18
Software Developer,MarshallZehr,"Waterloo, ON",78647,99584,2023-10-18
Software Developer (Angular),Descartes,"Waterloo, ON",80088,101409,2023-10-18
Software Developer,BicDroid Inc.,"Waterloo, ON",60513,76623,2023-10-18
Software Engineer,MealSuite,"Kitchener, ON",90091,114076,2023-10-18
Software Developer,Brock Solutions,"Kitchener, ON",85753,108582,2023-10-18
Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",81060,102640,2023-10-18
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",84611,107136,2023-10-18
Embedded Software Engineer,Linamar Corp,"Guelph, ON",78608,99536,2023-10-18
"Senior Software Developer, Networks, Google Cloud Business Platforms",Google,"Waterloo, ON",,,2023-10-18
"Senior Technology Specialist, Digital Developer",Equitable Life of Canada,"Waterloo, ON",88457,112007,2023-10-18
Senior Software Developer,Dejero Labs Inc.,"Waterloo, ON",99018,125379,2023-10-18
Cloud Platform Engineer,Manulife,"Waterloo, ON",86965,110118,2023-10-18
Full stack developer (Remote),Applied Brain Research,"Waterloo, ON",70000,100000,2023-10-18
Senior Software Engineer,Sun Life,"Waterloo, ON",82000,135000,2023-10-18
Senior Software Engineer,NCR,"Waterloo, ON",100064,126704,2023-10-18
IT Software Developer - (Salesforce),opentext,"Waterloo, ON",92295,116867,2023-10-18
"Software Developer III, Infrastructure, Google Cloud Data Management",Google,"Waterloo, ON",,,2023-10-18
"Cloud Technical Solutions Developer, Billing",Google,"Waterloo, ON",,,2023-10-18
Full Stack Web Developer,BicDroid Inc.,"Waterloo, ON",54981,69618,2023-10-18
Software Engineering Manager,CEDENT,"Waterloo, ON",102184,129388,2023-10-18
"Software Engineering Manager, Group Benefits",Manulife,"Waterloo, ON",88645,112244,2023-10-18
AWS/DevOps Engineer,Venuiti,"Kitchener, ON",53467,118802,2023-10-18
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"Waterloo, ON",95899,121430,2023-10-18
Experienced Full Stack Web Developer,Boardera Software,"Kitchener, ON",77187,97736,2023-10-18
Software Engineer,BicDroid Inc.,"Waterloo, ON",75103,95098,2023-10-18
"Software Developer III, Google Cloud Networking",Google,"Waterloo, ON",,,2023-10-18
Software Engineer,MaxSys Staffing & Consulting,"Waterloo, ON",149760,149760,2023-10-18
Software Test Automation Engineer,Nicoya,"Kitchener, ON",95059,120366,2023-10-18
Web Developer,University of Waterloo,"Waterloo, ON",83252,105416,2023-10-18
Intermediate Software Developer,Geotab,"Waterloo, ON",89506,113334,2023-10-18
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",62400,,2023-10-18
Staff Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",105998,134217,2023-10-18
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-10-18
Software Engineer - Full Stack,MCAP,"Waterloo, ON",88820,112466,2023-10-18
Web Application Developer,Fivewalls,"Waterloo, ON",67100,84964,2023-10-18
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805,102318,2023-10-18
C++ Developer - Low Level - Canada,GTS,"Kitchener, ON",90620,114745,2023-10-18
.NET Mobile Developer,Semex,"Guelph, ON",81110,102704,2023-10-18
Senior Software Engineer,Carta,"Waterloo, ON",104700,132574,2023-10-18
"Senior Software Developer, Google Cloud Compute",Google,"Kitchener, ON",,,2023-10-18
"Android Kotlin Developer - Waterloo, Canada",Forhyre,"Waterloo, ON",64563,81751,2023-10-18
Remote - Delta V Programmer/Engineer,CAC Staffing,Various locations,145600,,2023-10-18
Staff DevOps Developer,Mappedin,"Kitchener, ON",73268,92774,2023-10-18
Senior DevOps Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",106499,134851,2023-10-18
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",90000,90000,2023-10-18
Intermediate Software Developer (Remote),DriverCheck Inc.,"Kitchener, ON",111358,141005,2023-10-18
Senior Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",119813,151711,2023-10-18
IT Software Developer - (Salesforce),Open Text Corporation,"Waterloo, ON",92295,116867,2023-10-18
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"Kitchener, ON",87571,110884,2023-10-18
Staff Software Developer (Fleet Manager),OTTO Motors by Rockwell Automation,"Kitchener, ON",110029,139321,2023-10-18
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"Waterloo, ON",58240,,2023-10-18
Full Stack Developer,Planitar Inc.,"Waterloo, ON",84743,107304,2023-10-18
Software Deployment Engineer,Brock Solutions,"Kitchener, ON",75889,96093,2023-10-18
Sr. Software Engineer,MCAP,"Waterloo, ON",97165,123032,2023-10-18
Jr. Application Developer,The Judge Group,"Elmira, ON",,,2023-10-18
Senior Software Developer,D2L,"Kitchener, ON",105533,133629,2023-10-18
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"Waterloo, ON",63567,80490,2023-10-18
"Lead Technology Specialist, Digital Developer",Equitable Life of Canada,"Waterloo, ON",100782,127613,2023-10-18
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"Waterloo, ON",93765,118728,2023-10-18
Senior Software Developer,Brock Solutions,"Kitchener, ON",100193,126867,2023-10-18
CNC Programmer,Artco,"Kitchener, ON",40790,51650,2023-10-18
"Software Developer III, Google Cloud Platform AI and Industry Solutions",Google,"Waterloo, ON",,,2023-10-18
Project Manager,Ontario Health,Various locations,96287,121921,2023-10-18
Senior Wordpress Developer for Ecommerce,Sienci Labs Inc.,"Waterloo, ON",60000,85000,2023-10-18
"Software Developer III, Google Cloud Data Management",Google,"Waterloo, ON",,,2023-10-18
Software Engineering Manager,onsemi,"Waterloo, ON",93448,118327,2023-10-18
"Product Developer, Software - Advanced Research",Christie Digital,"Kitchener, ON",78402,99275,2023-10-18
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"Kitchener, ON",76644,97048,2023-10-18
Fullstack Senior Software Developer,Geotab,"Waterloo, ON",89815,113725,2023-10-18
"Sr. Director, IT PMO",opentext,"Waterloo, ON",108651,137576,2023-10-18
Java WebObjects Web Developer,LifeLearn,"Guelph, ON",78081,98868,2023-10-18
Senior Software Developer,Geotab,"Waterloo, ON",93651,118584,2023-10-18
Automation Engineer,Linamar Corp,"Guelph, ON",63807,80794,2023-10-18
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375,72650,2023-10-18
Full Stack Engineer,Just Play Sports Solutions LLC,"Kitchener, ON",85716,108535,2023-10-18
Lead Privacy Analyst,opentext,"Waterloo, ON",76506,96874,2023-10-18
Senior Simulation Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",94378,119504,2023-10-18
"Developer, Power Platform",Addenda Capital,"Guelph, ON",69047,87428,2023-10-18
Build System Developer,MAXON Computer,"Waterloo, ON",84898,107499,2023-10-18
Automation Engineer,Nfinite Nanotech,"Kitchener, ON",70000,80000,2023-10-18
Principal Network Specialist,opentext,"Waterloo, ON",76996,97494,2023-10-18
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"Kitchener, ON",87719,111071,2023-10-18
Senior Software Architect,Dejero Labs Inc.,"Waterloo, ON",97782,123813,2023-10-18
Sage People Software Developer - Contract,Compugen Inc,Various locations,,,2023-10-18
Operations Analyst,Magnet Forensics,"Waterloo, ON",54010,68389,2023-10-18
Staff Perception Developer - Localization and Mapping,OTTO Motors by Rockwell Automation,"Kitchener, ON",99096,125478,2023-10-18
Senior IT Technology Risk Analyst,opentext,"Waterloo, ON",82924,105000,2023-10-18
CNC programmer,Aversan,"Waterloo, ON",70211,88903,2023-10-18
"Manager, Software Development",D2L,"Kitchener, ON",102285,129515,2023-10-18
Software Engineering Manager,ATS Automation Tooling Systems,"Cambridge, ON",97356,123275,2023-10-18
Lead Embedded Software Developer,Molex,"Waterloo, ON",102585,129896,2023-10-18
Senior Dev Sec Ops Specialist,BlackBerry,"Waterloo, ON",94278,119377,2023-10-18
"Lead Software Engineer, Operations",Sun Life,"Waterloo, ON",82000,135000,2023-10-18
CNC Programmer,The Bamco Group,"Guelph, ON",47840,,2023-10-18
Sr. Systems Analyst - IAM,Open Text Corporation,"Waterloo, ON",73009,92446,2023-10-18
Collections Specialist (Escalations),Open Text Corporation,"Waterloo, ON",59261,75038,2023-10-18
Master Data Management - Data/Process Analyst,opentext,"Waterloo, ON",86934,110077,2023-10-18
"Lead Developer/Team Lead - MS Stack (Dynamics, Power Platform)",Mayk Ideas,"Kitchener, ON",80581,102034,2023-10-18
Senior Software Engineer iOS,IMS,"Waterloo, ON",98908,125240,2023-10-18
Unreal Engine C++ Developer II - SDK,Mawari,"Waterloo, ON",95624,121082,2023-10-18
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"Waterloo, ON",74269,94042,2023-10-18
CNC Lathe Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",58240,,2023-10-18
