Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
CNC Programmer,Chervin,"St. Clements, ON",43003.0,54452.0,2023-10-04,2023-11-22
2024 Research Scientist at Perimeter Institute (CHORD radio telescope),Perimeter Institute for Theoretical Physics,"Waterloo, ON",,,2023-10-04,2023-11-01
Sr. Principal Software Architect,Open Text Corporation,"Waterloo, ON",111782.0,141540.0,2023-10-04,2023-11-01
Customer Support Representative,opentext,"Waterloo, ON",39388.0,49875.0,2023-10-04,2023-10-11
"Sr. Director, IT PMO",opentext,"Waterloo, ON",108651.0,137576.0,2023-10-04,2023-11-08
Staff Software Developer (Fleet Manager),Clearpath Inc.,"Kitchener, ON",110029.0,139321.0,2023-10-04,2023-10-11
Lead Software Engineer,Sun Life,"Waterloo, ON",,,2023-10-04,2023-11-15
Senior Perception Developer - Calibration and Sensors,Clearpath Inc.,"Kitchener, ON",99139.0,125532.0,2023-10-04,2023-10-11
Electrical Design & PLC Programmer (Automation Exp),Barrie Welding & Machine,Various locations,56885.0,72030.0,2023-10-04,2023-11-01
Principal Security Compliance Analyst - Compliance Strategy,Open Text Corporation,"Waterloo, ON",76187.0,96470.0,2023-10-04,2023-11-22
Business Development Representative,The Syscomm Group,"Waterloo, ON",50183.0,63543.0,2023-10-04,2023-11-22
Lead Site Reliability Engineer,opentext,"Waterloo, ON",99945.0,126552.0,2023-10-04,2023-11-22
CNC Programmer/Setter/Operator,Trited Innovation Inc-Cambridge - ONTARIO,"Guelph, ON",,,2023-10-04,2023-10-11
Senior Scrum Master (Data & Analytics),Sun Life,"Waterloo, ON",,,2023-10-04,2023-10-04
Sr. Software Engineer-Zuora Administrator,opentext,"Waterloo, ON",85653.0,108456.0,2023-10-04,2023-10-04
Job Developer/Employment Counsellor,2nd Chance Employment Counselling,"Guelph, ON",,,2023-10-04,2023-11-01
Sr. Systems Analyst - uCMDB,opentext,"Waterloo, ON",75888.0,96091.0,2023-10-04,2023-10-11
Lead Systems Analyst,opentext,"Waterloo, ON",92034.0,116535.0,2023-10-04,2023-10-18
Lead Product Manager (IoT),opentext,"Waterloo, ON",97948.0,124024.0,2023-10-04,2023-10-11
