Job Title,Company,Location,Min Salary,Max Salary
Staff Software Developer (Fleet Manager),OTTO Motors by Rockwell Automation,"Kitchener, ON",110029.0,139321.0
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"Waterloo, ON",58240.0,
Full Stack Developer,Planitar Inc.,"Waterloo, ON",84743.0,107304.0
Software Deployment Engineer,Brock Solutions,"Kitchener, ON",75889.0,96093.0
Sr. Software Engineer,MCAP,"Waterloo, ON",97165.0,123032.0
Jr. Application Developer,The Judge Group,"Elmira, ON",,
Senior Software Developer,D2L,"Kitchener, ON",105533.0,133629.0
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"Waterloo, ON",63567.0,80490.0
"Lead Technology Specialist, Digital Developer",Equitable Life of Canada,"Waterloo, ON",100782.0,127613.0
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"Waterloo, ON",93765.0,118728.0
Senior Software Developer,Brock Solutions,"Kitchener, ON",100193.0,126867.0
CNC Programmer,Artco,"Kitchener, ON",40790.0,51650.0
"Software Developer III, Google Cloud Platform AI and Industry Solutions",Google,"Waterloo, ON",,
Project Manager,Ontario Health,Various locations,96287.0,121921.0
Senior Wordpress Developer for Ecommerce,Sienci Labs Inc.,"Waterloo, ON",60000.0,85000.0
"Software Developer III, Google Cloud Data Management",Google,"Waterloo, ON",,
Software Engineering Manager,onsemi,"Waterloo, ON",93448.0,118327.0
"Product Developer, Software - Advanced Research",Christie Digital,"Kitchener, ON",78402.0,99275.0
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"Kitchener, ON",76644.0,97048.0
Fullstack Senior Software Developer,Geotab,"Waterloo, ON",89815.0,113725.0
"Sr. Director, IT PMO",opentext,"Waterloo, ON",108651.0,137576.0
Java WebObjects Web Developer,LifeLearn,"Guelph, ON",78081.0,98868.0
Senior Software Developer,Geotab,"Waterloo, ON",93651.0,118584.0
Automation Engineer,Linamar Corp,"Guelph, ON",63807.0,80794.0
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375.0,72650.0
Full Stack Engineer,Just Play Sports Solutions LLC,"Kitchener, ON",85716.0,108535.0
Lead Privacy Analyst,opentext,"Waterloo, ON",76506.0,96874.0
Senior Simulation Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",94378.0,119504.0
"Developer, Power Platform",Addenda Capital,"Guelph, ON",69047.0,87428.0
Build System Developer,MAXON Computer,"Waterloo, ON",84898.0,107499.0
Automation Engineer,Nfinite Nanotech,"Kitchener, ON",70000.0,80000.0
Principal Network Specialist,opentext,"Waterloo, ON",76996.0,97494.0
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"Kitchener, ON",87719.0,111071.0
Senior Software Architect,Dejero Labs Inc.,"Waterloo, ON",97782.0,123813.0
Sage People Software Developer - Contract,Compugen Inc,Various locations,,
Operations Analyst,Magnet Forensics,"Waterloo, ON",54010.0,68389.0
Staff Perception Developer - Localization and Mapping,OTTO Motors by Rockwell Automation,"Kitchener, ON",99096.0,125478.0
Senior IT Technology Risk Analyst,opentext,"Waterloo, ON",82924.0,105000.0
CNC programmer,Aversan,"Waterloo, ON",70211.0,88903.0
"Manager, Software Development",D2L,"Kitchener, ON",102285.0,129515.0
Software Engineering Manager,ATS Automation Tooling Systems,"Cambridge, ON",97356.0,123275.0
Lead Embedded Software Developer,Molex,"Waterloo, ON",102585.0,129896.0
Senior Dev Sec Ops Specialist,BlackBerry,"Waterloo, ON",94278.0,119377.0
"Lead Software Engineer, Operations",Sun Life,"Waterloo, ON",82000.0,135000.0
CNC Programmer,The Bamco Group,"Guelph, ON",47840.0,
Sr. Systems Analyst - IAM,Open Text Corporation,"Waterloo, ON",73009.0,92446.0
Collections Specialist (Escalations),Open Text Corporation,"Waterloo, ON",59261.0,75038.0
Master Data Management - Data/Process Analyst,opentext,"Waterloo, ON",86934.0,110077.0
"Lead Developer/Team Lead - MS Stack (Dynamics, Power Platform)",Mayk Ideas,"Kitchener, ON",80581.0,102034.0
Senior Software Engineer iOS,IMS,"Waterloo, ON",98908.0,125240.0
Unreal Engine C++ Developer II - SDK,Mawari,"Waterloo, ON",95624.0,121082.0
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"Waterloo, ON",74269.0,94042.0
CNC Lathe Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",58240.0,
Sr. Systems Analyst - IAM,opentext,"Waterloo, ON",73009.0,92446.0
Master Data Management - Data/Process Analyst,Open Text Corporation,"Waterloo, ON",86934.0,110077.0
Computer Programming - Subject Matter Expert (SME),Robertson College,Various locations,72580.0,91903.0
Senior Cloud Engineer,Ontario Health,Various locations,92823.0,117535.0
FPGA Developer,Christie Digital Systems Inc.,"Kitchener, ON",82333.0,104252.0
2024 Research Scientist at Perimeter Institute (CHORD radio telescope),Perimeter Institute for Theoretical Physics,"Waterloo, ON",95000.0,95000.0
"Intermediate Technology Specialist, Digital Developer",Equitable Life of Canada,"Waterloo, ON",85229.0,107919.0
PLC Programmer/Systems Integrator,Trited Innovation Inc-ONTARIO,"Kitchener, ON",55976.0,70878.0
Principal Cloud Engineer,BMO Financial Group,Various locations,112974.0,143051.0
Senior Direct3D Software Developer,ALLUDO,"Waterloo, ON",109785.0,139013.0
Business Development Manager,MEDA,"Waterloo, ON",79422.0,100566.0
Intermediate Control Systems Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",62955.0,79715.0
"Senior Software Engineer - Risk Controls, Health",Cash App,"Waterloo, ON",141237.0,178838.0
Electrical/Controls Developer,ISN Technologies,"Waterloo, ON",75447.0,95532.0
Senior Software Security Researcher,Open Text Corporation,"Waterloo, ON",99008.0,125366.0
Principal IT Software Engineer,Open Text Corporation,"Waterloo, ON",90589.0,114706.0
Senior ASP.NET Application Developer,RKD Web Studios,"Guelph, ON",72638.0,91976.0
CNC Programmer/Setter/CAMWorks,Trited Innovation Inc-Cambridge - ONTARIO,"Guelph, ON",45760.0,
Sr. Software Developer,opentext,"Waterloo, ON",95129.0,120454.0
CNC Programmer,Héroux-Devtek Inc.,"Kitchener, ON",60055.0,76043.0
Cloud DevOps Engineer/Architect,Procom,Various locations,,
Senior IT Technology Risk Analyst,Open Text Corporation,"Waterloo, ON",82924.0,105000.0
"Senior Software Engineer, RippleNet Payments",Ripple Labs,"Kitchener, ON",114519.0,145006.0
Senior Test Automation Developer,LogiSense Corporation,"Kitchener, ON",106510.0,134865.0
Senior Cloud Security Operations Engineer - Remote,Revvity,"Guelph, ON",118613.0,150190.0
"Advisor, Business Development (University of Waterloo)",Mitacs,"Waterloo, ON",83063.0,105177.0
"Program Manager, Corporate Giving",opentext,"Waterloo, ON",87827.0,111209.0
Jr. Application Developer,The Judge Group,"Elmira, ON",,
Senior DevOps Engineer,ISG Search Inc,Various locations,98974.0,125323.0
"Senior .Net Full Stack Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,
Software Engineer – DevOps,Magnet Forensics,"Waterloo, ON",81036.0,102610.0
Senior Software Security Researcher,opentext,"Waterloo, ON",99008.0,125366.0
Lead Systems Analyst,Open Text Corporation,"Waterloo, ON",92034.0,116535.0
Sr. Principal Software Architect,Open Text Corporation,"Waterloo, ON",111782.0,141540.0
Senior Software Developer,Magnet Forensics,"Waterloo, ON",92563.0,117205.0
Controls System Software Designer- Senior,ATS Automation Tooling Systems,"Cambridge, ON",73339.0,92863.0
Sr. Client Manager,Open Text Corporation,"Waterloo, ON",83619.0,105881.0
Sr. Site Reliability Administrator,opentext,"Waterloo, ON",97291.0,123192.0
"Educational Developer, Indigenous Knowledges",University of Waterloo,"Waterloo, ON",70507.0,89278.0
Client Director,opentext,"Waterloo, ON",97850.0,123900.0
Business Development Specialist,BicDroid Inc.,"Waterloo, ON",64477.0,81642.0
Senior Perception Developer - Calibration and Sensors,OTTO Motors by Rockwell Automation,"Kitchener, ON",99139.0,125532.0
Principal Network Specialist,Open Text Corporation,"Waterloo, ON",76996.0,97494.0
Sr. Principal Software Architect,opentext,"Waterloo, ON",111782.0,141540.0
computer numerical control (CNC) programmer,Heroux Devtek,"Kitchener, ON",70000.0,85000.0
Cloud Automation Tools Engineer/Architect - RHEL 8.x / 9.x & Windows 2019 & 202,Procom,Various locations,,
JR00087402 Senior Software Engineer (.NET/ Powershell),Sun Life,"Waterloo, ON",82000.0,135000.0
Staff Machine Learning Developer,FullStory,"Waterloo, ON",101315.0,128287.0
Perception Team Lead - Localization and Mapping,OTTO Motors by Rockwell Automation,"Kitchener, ON",96237.0,121857.0
Collections Specialist (Escalations),opentext,"Waterloo, ON",59261.0,75038.0
Application Developer,Stantec,"Waterloo, ON",94215.0,119297.0
Sr. Systems Administrator,Open Text Corporation,"Waterloo, ON",87250.0,110478.0
Senior Mobile Developer,Sun Life,"Waterloo, ON",82000.0,135000.0
Lead Systems Analyst,opentext,"Waterloo, ON",92034.0,116535.0
Program Director,Open Text Corporation,"Waterloo, ON",79244.0,100341.0
"Chief Architect, Cloud & Cybersecurity","Canon Medical Informatics, Inc.","Waterloo, ON",77166.0,97710.0
Lead Privacy Analyst,Open Text Corporation,"Waterloo, ON",76506.0,96874.0
"Senior Team Lead, Software Development",Geotab,"Waterloo, ON",107422.0,136020.0
Temenos T24 Developer (Remote),HVN Solutions,"Waterloo, ON",106539.0,134902.0
Sr. Software Developer,Open Text Corporation,"Waterloo, ON",95129.0,120454.0
"Sr. Director, IT PMO",Open Text Corporation,"Waterloo, ON",108651.0,137576.0
Electrical Design & PLC Programmer (Automation Exp),Barrie Welding & Machine,Various locations,56885.0,72030.0
"CNC Mid to Large Lathe Machinist (""Programmer"")",BARRIE WELDING & MACHINE,Various locations,58240.0,
Infrastructure Cloud Architect,ApplyBoard,"Kitchener, ON",108484.0,137365.0
Vulkan Graphics Engineer - Global Remote,CoreAVI,"Waterloo, ON",99086.0,125465.0
Sr. Systems Administrator,opentext,"Waterloo, ON",87250.0,110478.0
Senior Controls System Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",78510.0,99411.0
Engineering Communications Education Developer,University of Waterloo,"Waterloo, ON",74452.0,94273.0
Sr. Software Developer- Short-term Contract,ApplyBoard,"Kitchener, ON",77458.0,98079.0
Senior Industrial Simulation Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",87699.0,111046.0
Business Development Representative,The Syscomm Group,"Waterloo, ON",50183.0,63543.0
"Director, Billing Operations",opentext,"Waterloo, ON",92894.0,117624.0
"Senior React Native Engineer - Afterpay, Cash App",Cash App,"Waterloo, ON",139063.0,176085.0
Program Director,opentext,"Waterloo, ON",79244.0,100341.0
Senior Software Quality Engineer – SAP BW (SAP Business Warehouse),Sun Life,"Waterloo, ON",82000.0,135000.0
Sr. Site Reliability Administrator,Open Text Corporation,"Waterloo, ON",97291.0,123192.0
Principal GCP Cloud Solutions Architect,opentext,"Waterloo, ON",74417.0,94228.0
"Maternal Child Health Nurse Coordinator-Relocate to Port Hardy, B.C",Gwa'sala-'Nakwaxd'xw Nations,Various locations,82396.0,104332.0
"Director, Billing Operations",Open Text Corporation,"Waterloo, ON",92894.0,117624.0
Principal Security Compliance Analyst - Compliance Strategy,opentext,"Waterloo, ON",76187.0,96470.0
Client Director,Open Text Corporation,"Waterloo, ON",65563.0,83018.0
Lead Revenue Operations Analyst,Open Text Corporation,"Waterloo, ON",77286.0,97861.0
Lead Revenue Operations Analyst,opentext,"Waterloo, ON",77286.0,97861.0
