"
  Minma Icon Pack","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","May 16, 2019","really nice app, loved it. But still one problem, icons do not change on edge panel in Samsung device that is s8. Do you have any solution for that. This is only reason to give 4 stars otherwise it deserves 5 Edited:- Even if the edge panel in Samsung does not support it, this app truly deserves 5 stars. And if possible, man please make your icons support for edge panel, I will love it. Also bring your icons to the galaxy themes. People will love it. Thanks","111 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","February 2, 2020","My most favourite icon pack yet! I have looked at different icon packs, but they all have the same style icons within each app. Minma has a lot of different choices for icons and works perfectly for my OnePlus phone. I am even able to change the icons that are set by Minma so I can have an icon that suits my phone more! What more could you ask for?","114 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8n1aEp3vbCtILWISzSx0KqEFoeTX1RSnre3fIqsAI=s32-rw","Niranjan Reddy","","February 27, 2021","Hi, This is my favourite icon pack on the Playstore. Really appreciate your hardwork. Just a small gripe. Could you also add old icons too to select in the app. I miss the old icons. They were really cool. Just a suggestion.","17 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-B6g5xgFSB189wmI2AjyOQa_7D2S3k8TGku7p5Og=s32-rw","Hector Casillas","","August 27, 2020","Its a good icon app with a nice selection. Only problem i have is app keeps turning on the access to use background data. Ive turn it off several times and later on its on again. That needs to get fixed and ill gladly change my rating into 5 stars.","113 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3B0btWK4kE7WY74EX48dWflCyQAWO3RwQOplsp=s32-rw-mo","Elvio Petillo","","April 9, 2021","Hmm icons look nice, but there's popular apps that don't have one and icon requests is broken-ish. I opened the request in some email program and there was no Send-To Email filled in. So I tried to re-send the request through another Email app but the Icon app ""thought"" I already requested them. Kinda bad...:(","53 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","July 18, 2019","icons are beautiful. once you find the right wallpaper, your setup will look amazing. one minor issue is the icon won't change for my chase app even though the app has one for it. its not the end of the world though. amazing app","55 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_qAlrRBgpfLrsZmduUxSrw1Abfdk0WeN0HJXiX_A=s32-rw","equi","Show review history","October 21, 2021","Clean icons! I love the dark and minimalistic designs! However, I noticed that some apps does not have an icon. I have email the dev, but I did not get a response. Nevertheless, I would recommend this icon pack to others!","153 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8oAoHtwW8yzvVKUtNh2B3WE07qppQZp6MmpLQRMQ=s32-rw","Lara M.","","November 16, 2022","Beautiful and simple pack. I'm having some issues with the new Poco UI update but that's totally Poco's fault for not supporting icon packs",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9imsPdfScnbMz8ShtLVMqJxCm8flXGUNq6ggnHNA=s32-rw","Andrew Kachila","","August 13, 2020","Great Icon Pack, like their minimalistic feel and design. Though I use Evie Launcher which is not supported, I was still able to apply the icon pack. I will give 5 stars when more options are provided for the clock widget.","43 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 25, 2019","I cant use it. When i applied to my poco launcher, the only thing that changes is the app calendar. But still, the day on the calendar is wrong. It says 12 when the day is really 25. I really wanna use it please help. I'm using oppo a71(2018)","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-M6NJ-DyudGaxCJb_w77rBpYlYcxnELJSzmJOjKA=s32-rw","Donna Pillaro","Show review history","June 7, 2021","I love love LOVEEE this app! It has icons for almost anything! One suggestion tho, please add icons for things like Gacha Life and FancyKey. Other than that, this is AMAZING! And, pleasemake it to where you can apply it to IOS Launcher. And every time I apply, it leaves a large white circle behind the icon.","54 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1jcGZtODPbJpsOlkzpjFKIJObu0sOmlo9hJSHB=s32-rw-mo","Michael Fagan","Show review history","March 5, 2021","Really loved the icons, up until the recent change. They used to be sharp and vibrant, now they look broken and washed out. Major disappointment. This went from a previous 5 Star to a 2. Any way I can refresh back to your previous icons?","45 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_tic6YXpnJMtuCzCef4KutRvQenE3EuRLFb0Ydpg=s32-rw","Cian Amor","","March 10, 2021","App icons got updated one day and they totally changed from clean-minimalistic to some futuristic-retro and it completely changed the vibes. Not terrible but it doesn't match my setup now so I'll be using a different icon pack","7 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 17, 2019","All of my icons reverted to their original form. This really makes me mad, cause I really loved the icons on this app. I can't navigate properly. It's like borrowing a phone. I've tried everything to fix it and now I'm waiting ages for this app to check some licence. How long is this going to take??","19 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8zn9DAFb7nMDXAzpmcashuNJYD191YZKVV2bnz4A=s32-rw","Big_ChunkyMonky","Show review history","September 9, 2020","Great app! Everything looks perfect, but I only have one complaint: every time I press the close button, the Icon pack closes. Maybe I am using the wrong launcher, but I don't know.","116 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","April 5, 2019","Absolutely amazing set of icons. Love the simplicity and minimal look of it! love the dark background, goes very well with my customized screen setups and the icons themselves.  Keep up the amazing work!","52 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8US11sJZcvoxwDgiSgY78RRfxTBn5Sdp7czH4QWw=s32-rw","Nawazish Bilal","","March 2, 2021","The application is just amazing, small - doesn't take much space, handcrafted - the icons give a huge premium feel for no price, Great service - The icons keep updating and the feature to request for our own apps is just amazing, great experience. Totally recommended👍","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KWX7PMWlo3wuKue70T_DQCR5nTdzYyJ8rhBp4JA=s32-rw","Frank Raúl Pérez Pérez","","June 23, 2021","Amazing icon set, all that I was looking for. But it's needed an update of Edge app icon and OneNote's because the actual are based in the old Microsoft's icons. And please make some for Office and Onedrive.","21 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9OEb8rQkdrPOmUMgRBMqDAS9l0KFULWclsuxj8=s32-rw","Sumanth Munikrishnappa","","August 12, 2021","After the update, the icon pack only applies to the popular apps. Earlier it would apply a circular ring around other icons aswell. now everything looks messy and uneven. Uninstalling.","36 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-5mh2u6XDghrMV2CQk_IqOd8rpjCh9V54C835slw=s32-rw","Samson James","Show review history","September 10, 2022","I love the art style, but a lot of the icons listed don't work and are just default with the custom on my Oppo Find X2 Lite. (Lawnchair 2)",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Ap3t7x9pWb5LJvr40PSQVDGDp8_ZFa6HRqzbVHw=s32-rw","Carlstan","","June 13, 2020","It's great. I've been using it as my go to icon pack with Evie launcher. The black themed minimalist design and a black background wallpaper makes it probably the best looking one in my opinion.","29 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-OuQ3v6AVKIFtQCmufKbVPILJfE-hONjMqW7pnTQ=s32-rw","Low_ Speccer","","July 23, 2021","The icon pack designed just for me. This is exactly what i imagine when i search for a dark minimal texture pack. Very great experience. Btw please try to add a icon for microsoft office.....","38 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","April 28, 2019","Designs are great, even the automatic icons are great. This app needs to have more generic icons, such as a shopping cart. icons that don't represent a single app, but things in general. but great app.","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_oOAf2GEgKEVXfep87I3ox-KyjqeVodX78c6tnVg=s32-rw","Mahmood Namallam","","May 2, 2020","Exceptionally different and beautiful, I can't think of any icon pack that's better. I even like more that it is compatible with Microsoft launcher.","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9eFZP2XEEWJJmJB4rh8JPyMMfJPmRHq38rynr2z4w=s32-rw","Agnidipto Sinha","Show review history","March 13, 2021","Loved how the icons looked previously. This was my favorite icon pack in the Play Store. The recent changes make it look much less minimilastic and crisp than it used to. Disappointed.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_AST88mbvt8fdHnRKoKfs4xT53BtAqpvM12Jz7kQ=s32-rw","Aditya Tripathi","","October 19, 2021","This is just the style i was looking for. Beautiful icons for almost all the apps. And the best feature is that i can request the icons that are not available.","72 people found this review helpful"
