"
  Sectograph. Day & Time planner","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_M5HagEMB3CKb9rXWc__sqtHJIW95bmxn7DV14=s32-rw","Alessandro Buffa","November 2, 2022","I love the app I used it every day but now it's not been working for a couple of months. It doesn't show the events of my google account, no problem with local events but I want to have everything on the cloud and not have duplicate events offline. The review would easily be 5 stars if this problem wasn't there but I tried everything in the faq and more to solve it and couldn't. Please fix it I want my app back","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-y4NsHeusLjBvoukBb8uGx2o12AI6-tiY3iUDvvm8=s32-rw","Elijah Kennedy","September 11, 2022","A brilliant idea, an entirely new way to look at the passage of time that strikes me as having advantages to this square-calendar-concept that is the default. I will admit I have used it in a while, but whenever I do I really enjoy this new way of seeing the time available to me and how it is filled. It gives a clearer perspective about how soon things are. If I had a smart watch and this was a function, I might just look at it all the time.","39 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9C6Sbi7EMsQ0TzyNfNCb1zbrRGghMWs9l5RcWy=s32-rw","Rhiannon D'Averc","September 28, 2022","With a little setup effort, I now have a widget on my screen which tells me where I am in my time blocking for the day at any given point. I wish there was more customisation for the widget eg adjusting the range of viewable time, making it more aesthetically pleasing beyond just colours. There's lots of options but not the ones I was looking for primarily. Still, it works.","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9K94_Y-V9jQwzbKcu0nOCuy3qgF1JHFBzFilH1NQ=s32-rw","Little Nelsky","October 23, 2022","I like it, I have ADHD and am hoping I can visualise my day easier. I just wish I could use it on my galaxy watch 5 as a tile widget and not have to change my watch face completely. I don't want to have to keep switching between and don't want to see this on days off. Granted there is some improvent Samsung could make here too like allowing 2 simultaneous watch faces by pressing either button. But a tile option would atleast make this useful for those who don't want it as a watch face","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu82hV2NtciF04MdBuZlwsatLW1X_IiwK0EO-vz8lic=s32-rw","Rajesh Kumar Singh","October 30, 2022","This app is just awesome, has found a permanent place on my home screen. I love to see my day schedule on sectograph instead of the calendar. Only one suggestion as I am using more than one calendar with it, if there's a festival its repeated for N number of calendars. This should be merged and shown once only.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9H32yVVG1gmbjUXQtq-7mqHegjvXxfV9LEFGE6eg=s32-rw","Sam Stigall","October 25, 2022","I do like this app. I honestly have not fully used it to it's full potential yet but that's mainly because I have a very settled down, low key, schedule these days, but when I do have an event I can view it on my home screen which I love. I love the organization of my events and it does go great with Google calendar.","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2m0hEhZrvVdjgDjMQA_RlYiBO-QdyT3jMKcZk9=s32-rw-mo","Brooke Stokes","November 16, 2022","Brilliant for ADHD!! I'm autistic and have ADHD, so I struggle with executive dysfunction. Having a clear, colour coded visual of my day, plus reminders to start and stop activities has taken away so much anxiety and allowed me to be so much more productive. Absolutely love that the free version is so functional, made me not mind paying for premium and made me willing to recommend it to others.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9exbALERpi6Jp1hSb_NPR0YEXlOz6Syla6qRDw9qw=s32-rw","Craig Tennenhouse","September 9, 2022","I really like the app and associated Wear OS app, but it would be nice if the premium version was an app instead of an in-app purchase so it could be shared in the family library. I'd rather not buy it just for me, and don't want to pay three times for my family. edit: Removing a star. I just went in to upgrade to Pro and it's $8. Way too high for an app like this when there are less expensive options.","38 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-5g8sY3yeKjVtY6x7hy-F_LxnMoJZaE5zLiUoAz5U=s32-rw","Stephanie","October 6, 2022","Love it! So helpful for my neurodiverget brain. I love the watchface and widget and extensive customization options. I'd like to have the watchface be able to open my calendar when pressed. Thanks for making the free version for all to be able to use! I didnt even need to buy the upgrade but did anyway just to say thanks for developing such an amazingly helpful app!","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-qx536oJONJBqCedRL5vwLrQsw5URMEw_RCUcMKg=s32-rw","Ian Speer","October 18, 2022","Almost perfect, there are two issues; 1. The watchface doesn't fill the whole screen on the galaxy 4 (and many others judging on photos online), there is about a 1/8""+ extremely visible ring of unused screenspace around the watchface 2. Text wrapping isnt very good. Overall great watchface, I literally bought a new watch just to use this, only real gripe is that lack of Fullscreen, worth $$$","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0LKLNFyetk60wrBL2M4TSQfP4JW48Qy8OSeadb=s32-rw-mo","Kadi South","October 11, 2022","As a person who retains information visually this app has been essential for me to maintain an organized schedule. I highly recommend this to anyone because of its versatility in settings. It's easy for younger children to use this app as well. Making it easy to keep a consistent routine.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-i7U8i4NCSVXuasj9JpV8Szjq1gT5Omp5Mad5QTQ=s32-rw","Raunak Khanuja","October 2, 2022","I am using the paid version. The overall interface of the app is great. But there is a glitch with the upcoming alarm feature It never shows the upcoming alarm correctly. If that is fixed, It would be great.","",""
