"
  GitHub","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8YRNJNRQyWsftdcB4OWx-Q3iizZwOnz3VBtdbiNQ=s32-rw","Roon Moonlight","September 24, 2022","All good but the image upload feature is not working properly and still lack of features such as native push notification when there is new notification on GitHub.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_YxurDNUqqmEZzR1wVMGibPoJZ0IhfQ3zWc6zzvg=s32-rw","Kumar Aditya","August 28, 2022","Great App. Currently I'm unable to view files over 10 mb, it shows ""Could not resolve files over 10 mb"". Edit: Another feature request: It would really help if we are able to edit the files, or atleast the markdown files if not all.","52 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9ZjH3BN5vWuqwpbwVQ6HrZsjLziEOjejZf2nSi=s32-rw","Rosa Lasanggi","November 7, 2022","I'm not a tech but I learn slowly by github and I want to learn more I want to give 5 stars for a very talented teams Cheers and keep up your good works.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8jAi4GmHZZnddPBkWXQoPGx0vzYpuH2KYoUBx6dg=s32-rw","Stuart Stirling (Stu)","November 15, 2022","Nicely made up that has a lot of functionality. Allows me to review and manage pull requests easily away from my pc","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8AagFUILlCLQtghiSN51zr0_IM_v8umHzSxGBQ1g=s32-rw","Anusha Tripathi","October 28, 2022","still has some bugs. And binary files don't show. But it has improved a lot!!","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9RLOa8wBEREQ1aUdCyDUnJLGlS-MIorqmfUKsf=s32-rw","Gary J Dixon","November 5, 2022","GitHub gets a 5 STAR GRADE with the very best security measures with team members being too damn aware of some of the worst things possible with internet applications ! This is a HUGE REASON why I came knocking on Github's doors once again ! I certainly want safe internet applications for everyone to include the US Government telling their resources they were vulnerable as myself actively going through a great deal of internet drama not needed ! Well in due time Homeland and FEDERAL RES HACKED!","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Odyl3BfrmNT0SXH2uzMPD-ocqVm4DR0awO7hR=s32-rw","Karo Yadgar","October 7, 2022","Github on the browser is just so much better. There are little to no features & it's incredibly difficult to move around, I have no idea what does what.","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-e319gk3ypschOPvNpuDx8kn2Add9_oruyAl0uRA=s32-rw","Abdullah Tahir","October 10, 2022","There's a lot of difference between GitHub mobile app and desktop. There are very very less functions in GitHub mobile app. Even we can't edit or manage repository (Can't private or public repository). Please make this app work like as it works in desktop.","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9DYwq3hMhBVzEjgX2EMNmlR57SUdbCDhO_EVjQsQ=s32-rw",":yt: Andy","October 3, 2022","How is there not a search page for text function when viewing code? This is the github app, you would think it would be top notch. Better off uninstalling the app and using the browser version on your phone.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_8yqwXHThAdgY6VNOPsEqfvhaKuC2vl3Up1FIqdw=s32-rw","KORNET SHADOWDIVER","September 18, 2022","The worst mobile version of any app. The web version is far better than this and has lots of options. Even there's no preview option available for repository for mobile version. Looool.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Op2-MWkwqpc-mzHqlv_ubIAfyotJadsDK__RcDA=s32-rw","German Ivanov","September 14, 2022","Missing some functionality from the web version, but usually does almost everything you may ever need to do from mobile.","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9h4L55ONLwXGeD-wh8wr49OMi87YtVqLUHCV1K=s32-rw","Dan Friedman","September 20, 2022","Needs tabs and improved navigation, including an option to go to the web site, even when the app is the default choice for GitHub links.","2 people found this review helpful",""
